X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-71.082754000020557,42.330957000262245,1,1,1,Washington St opp Ruggles St,,42.330957,-71.082754,,,0,,0,{CF8940AD-5246-48AC-80CB-78557625695E},,,,
-71.068786999686623,42.330555000001993,2,10,10,Theo Glynn Way @ Newmarket Sq,,42.330555,-71.068787,,,0,,0,{52A8E79B-E08C-422B-BA13-F5DA421AF5C4},,,,
-71.062910999423679,42.355691999790338,3,10000,10000,Tremont St opp Temple Pl,,42.355692,-71.062911,,,0,,0,{E4139B4F-A712-4D50-B468-2371529BFC02},,,,
-71.076237000551217,42.331591000764291,4,10003,10003,Albany St opp Randall St,,42.331591,-71.076237,,,0,,0,{F834B903-AEC4-4370-BEBC-56D4A3CD6B20},,,,
-71.071279999738223,42.335016999546944,5,10005,10005,Albany St opp E Concord St,,42.335017,-71.07128,,,0,,0,{2A4B1777-851F-43A9-9472-C8762A7A6338},,,,
-71.070135000855146,42.335813999471782,6,10006,10006,Albany St opp E Newton St,,42.335814,-71.070135,,,0,,0,{4EE2E08C-B4E2-4430-A834-45330F9FB796},,,,
-71.066555998856231,42.338371999873701,7,10007,10007,540 Albany St opp Wareham St,,42.338372,-71.066556,,,0,,0,{38DB5366-9195-4C72-B80D-23DA1B3E3925},,,,
-71.06435600037095,42.339915000334521,8,10008,10008,Albany St opp Randolph St,,42.339915,-71.064356,,,0,,0,{D47FE3C1-01FA-4FA8-82A4-4EA3A49D90F3},,,,
-70.915923998684988,42.214986000232756,9,10009,10009,High St @ Duck Lane,,42.214986,-70.915924,,,0,,0,{653F2682-7063-40D2-B5C6-354D01A294FD},,,,
-71.169521999850119,42.307660999822325,10,1001,1001,Newton St @ Arlington Rd,,42.307661,-71.169522,,,0,,0,{F1694DA8-6DC5-44D7-9E89-C8277344B340},,,,
-71.064620998580466,42.330943999956574,11,10010,10010,Southampton St @ Newmarket St,,42.330944,-71.064621,,,0,,0,{064BEF05-A512-4CB8-9662-768FC32FC947},,,,
-71.064226999335645,42.340162000445879,12,10011,10011,Albany St @ Randolph St,,42.340162,-71.064227,,,0,,0,{FE58680C-14A1-4DC2-9C27-A105B9C14949},,,,
