,LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,Lat,Long
0,LB-99314,"READVILLE TAVERN, INC.",CAPPY'S,,Rear exit for emergency and stock; in one room and kitchen on first floor; cellar for stock,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,85,"READVILLE TAVERN, INC.",,11.0,,  Wolcott CT,Hyde Park,MA,2136,"['42.237865', '-71.131859']",42.237865,-71.131859
1,LB-98783,"THE SUNSET BOCCE CLUB, INC.",THE BOCCE CLUB,NONE,In whole of said building.  CAPACITY BREAKDOWN: 1ST FLOOR - 58; 2ND FLOOR - 74.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,,1:00 AM,1:30 AM,132,"THE SUNSET BOCCE CLUB, INC.",,65.0,,  Danny RD,Hyde Park,MA,2136,"['42.24166', '-71.14034']",42.24166,-71.14034
2,LB-99112,"PARK AVENUE GROUP, INC.",CAVAN CAFÉ/CAVAN HOUSE,,Unnumbered entrance in rear to cellar for stock; in two rooms and kitchen on first floor; cellar for stock. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,157,"PARK AVENUE GROUP, INC.",,1406.0,1408.0,  Hyde Park AV,Hyde Park,MA,2136,"['42.25062', '-71.12573']",42.25062,-71.12573
3,LB-98813,POLISH AMERICAN POLITICAL CLUB OF HYDE PARK,THE POLISH CLUB,,First floor including a bar and 2 rear rooms for storage  also basement storage.,11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,,1:00 AM,1:30 AM,49,POLISH AMERICAN POLITICAL CLUB OF HYDE PARK,,1391.0,,  River ST,Hyde Park,MA,2136,"['42.25421', '-71.1291']",42.25421,-71.1291
4,LB-99343,"325, LLC",,123 Persons total.  1st Floor 58 Persons Seated.  25 Persons Standing. 2nd floor 40 Persons seated.,In one room for dining on the first floor  kitchen  small bar area and storage in the rear.  In one room for dining on the second floor  and to include an outdoor seasonal patio from April-October for 25 patrons on private property between the hours of 5:00 p.m.-11:00 p.m. With a 1:00 a.m closing ho,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,123,"325, LLC",,81.0,,  Fairmount AV,Hyde Park,MA,2136,"['42.25459', '-71.12019']",42.25459,-71.12019
5,LB-134966,"Anthony's Restaurant Group, LLC",Antonio's Bacaro,NONE,In one large room on the first floor  with kitchen  prep & storage in back and one bar with 8 seats in the dining room in front. Entrance and exit in the rear and front.,06/30/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALN,CV7ALN - Neighborhood Restricted,,Midnight,12:30 AM,0,"Anthony's Restaurant Group, LLC",(617)947-9407,5.0,,  Fairmount AV,Hyde Park,MA,2136,"['42.25553', '-71.121111']",42.25553,-71.121111
6,LB-134980,SANTA'S FOOD CORPORATION,Ricon Caribeno Restaurant,NONE,There are three entrances located in front of the premises on Fairmount Ave. The seating area  bar and kitchen are located on the first floor. The bar is located a few feet in from the middle door entrance. The cellar is used for stock.,01/09/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALN,CV7ALN - Neighborhood Restricted,,1:00 a.m.,1:30 a.m.,49,SANTA'S FOOD CORPORATION,,18.0,,  Fairmount AV,Hyde Park,MA,2136,"['42.255693', '-71.1208']",42.255693,-71.1208
7,LB-99652,"GOLDEN SUN, INC.",TALK AND WOK CAFÉ,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR.  3.) CLOSING HOUR: SUN-THURS 10:30 P.M.  FRI & SAT 11:30 P.M.,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,10:30 PM,11:00 PM,49,"GOLDEN SUN, INC.",,1277.0,,  River ST,Hyde Park,MA,2136,"['42.255952', '-71.124289']",42.255952,-71.124289
8,LB-99205,YOEVE CORP.,THE MASTER MCGRATH,THE BOARD GRANTED PERMISSION TO OPEN AND BEGIN SERVICE OF FOOD AT 9AM FOR BRUNCHAND SERVICE OF ALCOHOL AT 10AM ON SUNDAYS.,Rear entrance for stock; in two rooms and kitchen on first floor; cellar for stock.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,65,YOEVE CORP.,,1152.0,1154.0,  River ST,Hyde Park,MA,2136,"['42.25647', '-71.12031']",42.25647,-71.12031
9,LB-99111,JOHNNY BOY'S INC.,COTTAGE TAVERN,,Rear emergency exit; in one room and kitchen on first floor; cellar for stock.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,48,JOHNNY BOY'S INC.,,1227.0,, Hyde Park Av,Hyde Park,MA,2136,"['42.257202', '-71.124063']",42.257202,-71.124063
10,LB-98838,CECIL W. FOGG THOMAS J. ROBERTS POST #78,FOGG-ROBERTS POST,NONE,56 Harvard Avenue; In whole of said building.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,,1:00 AM,1:30 AM,99,CECIL W. FOGG THOMAS J. ROBERTS POST #78,,56.0,,  Harvard AV,Hyde Park,MA,2136,"['42.25783', '-71.12278']",42.25783,-71.12278
11,LB-99672,"Fairouz Restaurant, Inc.",,A.) NO BAR B.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.  PURSUANT TO THE AUTHORITY CONTAINED IN CHAPTER 481 OF THE ACTS OF 1994. RESTAURANT #36A W-TAKE OUT  #37 & #38 ENTERTAINMENT,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,MIDNIGHT,12:30 AM,66,"Fairouz Restaurant, Inc.",,5268.0,, Washington St,West Roxbury,MA,2132,"['42.25931', '-71.1589']",42.25931,-71.1589
12,LB-142546,MOUNT PLEASANT BUILDING ASSOCIATION INC.,Mount Pleasant Knights of Columbus,NONE,One (1) entrance and Two (2) exits on the first floor. One (1) entrance and One (1) exit on the basement floor. Seating capacity first floor: 128 and basement: 90.,07/23/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,,1:00 AM,1:30 AM,218,MOUNT PLEASANT BUILDING ASSOCIATION INC.,(617)323-9835,5250.0,,  Washington ST,West Roxbury,MA,2132,"['42.25975', '-71.15842']",42.25975,-71.15842
